iter	Passed	Remaining
0	1	1779
1	2	1420
2	3	1226
3	4	1142
4	7	1414
5	8	1386
6	9	1318
7	10	1256
8	11	1215
9	11	1173
10	12	1145
11	13	1135
12	14	1119
13	15	1107
14	16	1094
15	17	1082
16	18	1073
17	20	1125
18	22	1165
19	23	1149
20	25	1178
21	26	1168
22	27	1162
23	28	1152
24	29	1143
25	30	1133
26	31	1121
27	32	1111
28	32	1104
29	33	1095
30	37	1177
31	38	1170
32	39	1159
33	40	1146
34	41	1133
35	41	1119
36	42	1105
37	43	1092
38	43	1080
39	44	1068
40	45	1057
41	45	1047
42	46	1036
43	47	1027
44	48	1018
45	49	1016
46	49	1011
47	51	1012
48	52	1011
49	52	1006
50	53	999
51	54	991
52	55	983
53	55	977
54	56	971
55	57	965
56	57	958
57	58	952
58	59	946
59	60	942
60	60	936
61	61	930
62	62	926
63	64	946
64	66	957
65	67	957
66	68	955
67	69	952
68	70	950
69	71	947
70	72	946
71	73	944
72	74	942
73	75	940
74	76	938
75	76	936
76	79	949
77	81	958
78	82	957
79	83	955
80	85	965
81	86	965
82	86	959
83	87	959
84	88	957
85	89	955
86	90	954
87	92	960
88	94	967
89	96	971
90	97	970
91	98	970
92	99	967
93	100	965
94	100	962
95	101	960
96	102	958
97	103	956
98	104	955
99	105	952
100	107	954
101	109	960
102	110	962
103	111	961
104	112	959
105	113	957
106	114	957
107	115	957
108	116	955
109	118	954
110	119	953
111	119	951
112	121	953
113	123	962
114	125	962
115	126	961
116	127	959
117	128	958
118	129	957
119	130	954
120	131	952
121	132	950
122	133	949
123	134	947
124	134	944
125	136	948
126	138	953
127	140	958
128	142	959
129	143	958
130	144	956
131	145	955
132	146	957
133	147	955
134	148	954
135	149	952
136	152	961
137	154	962
138	155	962
139	156	961
140	157	960
141	158	956
142	159	954
143	160	952
144	161	950
145	162	947
146	163	945
147	164	944
148	165	947
149	168	953
150	170	956
151	171	955
152	172	954
153	173	952
154	174	951
155	175	950
156	176	948
157	177	946
158	178	944
159	179	944
160	181	944
161	183	946
162	184	949
163	185	948
164	187	947
165	188	947
166	189	946
167	190	944
168	191	942
169	192	941
170	196	954
171	199	959
172	200	959
173	201	957
174	202	955
175	203	954
176	204	952
177	205	951
178	206	949
179	207	947
180	211	956
181	213	958
182	214	958
183	215	957
184	216	955
185	218	954
186	219	952
187	220	951
188	221	949
189	222	947
190	223	948
191	226	951
192	227	951
193	229	955
194	231	953
195	232	952
196	233	949
197	234	947
198	234	945
199	235	943
200	236	941
201	238	942
202	240	942
203	241	942
204	243	944
205	244	943
206	245	941
207	246	939
208	247	937
209	248	935
210	249	933
211	250	930
212	251	928
213	252	926
214	254	929
215	256	929
216	257	927
217	258	925
218	259	924
219	260	922
220	260	919
221	261	917
222	262	915
223	263	913
224	264	911
225	266	911
226	268	913
227	269	913
228	271	913
229	272	910
230	272	908
231	273	906
232	274	904
233	275	902
234	276	900
235	277	898
236	278	895
237	279	893
238	280	893
239	282	895
240	284	895
241	285	894
242	286	892
243	287	891
244	288	889
245	289	887
246	290	885
247	291	883
248	292	881
249	293	879
250	294	877
251	296	880
252	298	880
253	300	882
254	302	883
255	303	883
256	306	884
257	307	884
258	308	883
259	311	885
260	313	886
261	314	886
262	315	885
263	317	884
264	318	882
265	319	882
266	320	880
267	322	880
268	324	881
269	326	881
270	329	886
271	331	885
272	332	884
273	334	885
274	335	884
275	336	883
276	339	887
277	342	889
278	343	888
279	345	887
280	347	888
281	349	890
282	351	889
283	355	895
284	356	895
285	358	895
286	360	895
287	362	895
288	363	894
289	365	895
290	367	896
291	369	897
292	372	898
293	373	897
294	375	896
295	376	895
296	377	894
297	379	893
298	381	893
299	386	901
300	387	900
301	388	898
302	390	897
303	391	896
304	392	894
305	393	893
306	395	893
307	401	901
308	402	900
309	404	900
310	405	899
311	407	898
312	408	897
313	410	895
314	411	894
315	415	898
316	417	899
317	419	900
318	421	898
319	422	897
320	423	895
321	424	894
322	426	892
323	427	892
324	429	892
325	431	892
326	433	892
327	434	891
328	436	889
329	437	888
330	438	887
331	440	885
332	442	887
333	447	891
334	448	889
335	449	888
336	450	886
337	451	884
338	453	883
339	454	881
340	455	879
341	461	888
342	462	886
343	464	885
344	465	883
345	466	881
346	467	880
347	469	879
348	470	877
349	472	877
350	474	877
351	476	877
352	477	875
353	478	873
354	480	872
355	481	870
356	482	869
357	483	867
358	484	865
359	486	865
360	488	864
361	489	863
362	491	861
363	492	860
364	493	858
365	494	857
366	496	855
367	497	853
368	498	851
369	499	850
370	500	848
371	503	849
372	505	849
373	506	848
374	507	846
375	509	844
376	510	843
377	511	841
378	512	839
379	514	838
380	515	837
381	517	837
382	519	836
383	521	835
384	522	834
385	523	832
386	524	831
387	526	829
388	527	828
389	528	826
390	529	825
391	534	829
392	535	827
393	536	825
394	537	823
395	539	822
396	540	820
397	541	819
398	542	817
399	544	816
400	545	814
401	548	815
402	549	814
403	550	812
404	551	810
405	552	809
406	554	807
407	554	805
408	556	803
409	557	802
410	558	800
411	559	798
412	563	800
413	564	799
414	566	797
415	567	796
416	568	794
417	570	794
418	572	793
419	573	791
420	574	789
421	578	792
422	580	791
423	581	789
424	582	788
425	584	787
426	585	785
427	586	783
428	587	781
429	588	779
430	589	778
431	591	778
432	593	777
433	594	775
434	596	775
435	598	773
436	599	772
437	600	770
438	601	769
439	605	770
440	608	771
441	610	770
442	612	770
443	614	769
444	616	768
445	617	766
446	622	770
447	624	769
448	626	768
449	627	767
450	628	765
451	629	763
452	631	762
453	632	760
454	635	761
455	638	761
456	640	760
457	642	760
458	644	760
459	646	758
460	647	757
461	650	757
462	653	757
463	654	756
464	657	756
465	658	754
466	659	752
467	660	751
468	665	753
469	668	753
470	670	752
471	672	752
472	674	752
473	676	750
474	680	752
475	682	751
476	684	750
477	686	749
478	688	748
479	689	746
480	690	744
481	693	744
482	695	744
483	698	744
484	700	743
485	701	741
486	702	740
487	704	739
488	706	738
489	708	737
490	710	736
491	713	736
492	714	734
493	715	733
494	717	731
495	718	730
496	719	728
497	721	727
498	722	725
499	725	725
500	726	723
501	728	722
502	734	725
503	735	723
504	736	721
505	740	722
506	742	722
507	744	721
508	745	719
509	747	717
510	748	715
511	748	713
512	750	712
513	750	710
514	751	708
515	755	708
516	757	707
517	758	705
518	759	703
519	760	702
520	762	700
521	763	699
522	765	697
523	766	695
524	769	696
525	771	695
526	773	694
527	774	692
528	776	691
529	777	689
530	779	688
531	780	686
532	781	684
533	784	684
534	786	683
535	788	682
536	789	680
537	790	679
538	791	677
539	793	675
540	794	674
541	796	672
542	799	672
543	801	671
544	803	670
545	804	669
546	806	667
547	807	666
548	808	664
549	810	662
550	813	662
551	816	662
552	818	661
553	819	659
554	820	658
555	822	656
556	823	655
557	825	653
558	829	654
559	831	653
560	832	651
561	833	649
562	835	648
563	836	646
564	837	645
565	839	643
566	840	641
567	842	640
568	844	639
569	846	638
570	848	637
571	849	635
572	850	633
573	851	632
574	853	630
575	854	629
576	855	627
577	858	626
578	860	625
579	861	624
580	863	622
581	864	620
582	865	619
583	867	617
584	868	616
585	869	614
586	872	614
587	874	612
588	876	611
589	877	610
590	879	608
591	880	606
592	881	604
593	882	603
594	884	601
595	885	599
596	888	599
597	890	598
598	891	597
599	893	595
600	894	593
601	895	592
602	897	590
603	898	589
604	899	587
605	902	586
606	904	585
607	905	584
608	907	582
609	908	580
610	909	578
611	910	577
612	911	575
613	912	573
614	913	572
615	915	570
616	918	570
617	920	568
618	922	567
619	923	565
620	924	564
621	925	562
622	926	560
623	928	559
624	929	557
625	930	556
626	932	554
627	936	554
628	937	553
629	938	551
630	940	549
631	942	548
632	943	547
633	945	546
634	948	545
635	950	544
636	951	542
637	953	541
638	954	539
639	956	537
640	957	536
641	958	534
642	959	532
643	968	535
644	970	533
645	971	532
646	973	530
647	974	529
